,review,rating,sbjText,actText,actVerbNeg,objText,locText,sbjSentType,objSentType,objSentFromSbjType,locSentType,sbjSentScore,objSentScore,objSentFromSbjScore,actVerbText,locSentScore,actLemma,actVerbTense,foundKeyword,aggKeyword,count
14,73395,bad,venice,departing,0.0,aboard more,,neutral,positive,neutral,neutral,0.0,0.204978,0.0,depart,0.0,depart,present,board,ship,1
27,73395,bad,poesia,is,0.0,a beautiful ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,ship,ship,1
30,73395,bad,our cabin deck 11 inside,was,0.0,quiet and comfortable,,neutral,positive,neutral,neutral,0.0,0.837161,0.0,be,0.0,be,past,table,dining,1
34,73395,bad,we,had,0.0,many pleasant conversations with some of the drink waiters particularly some of the romanian girls,,neutral,positive,neutral,neutral,0.0,0.749908,0.0,have,0.0,have,past,waiter,dining,1
43,73395,bad,the free softserve ice cream served daily outside the entrance to the buffet on deck 13,was,0.0,an unexpected and very welcome bonus,,neutral,positive,neutral,neutral,0.0,0.959536,0.0,be,0.0,be,past,buffet,food,1
46,73395,bad,we,to have,0.0,the new buffet system offering longer opening hours,,neutral,neutral,negative,neutral,0.0,0.0,-0.246032,have,0.0,to have,past,buffet,food,1
49,73395,bad,this,is,0.0,not a cheap ship,,neutral,negative,neutral,neutral,0.0,-0.517797,0.0,be,0.0,be,present,ship,ship,1
60,217474,good,our room,were,0.0,cleaned twice daily and room service,,positive,positive,neutral,neutral,0.302789,0.436201,0.0,be,0.0,be,past,room service,dining,1
62,217474,good,our room were cleaned twice daily and room service,was,0.0,very prompt,,positive,positive,neutral,neutral,0.269836,0.636508,0.0,be,0.0,be,past,room service,dining,1
63,217474,good,the ship itself,was,0.0,always shiny and spotless,,neutral,positive,neutral,neutral,0.0,0.614385,0.0,be,0.0,be,past,ship,ship,1
64,217474,good,cleanliness on this ship,was,0.0,notably a very high standard,,positive,positive,neutral,neutral,0.485124,0.545119,0.0,be,0.0,be,past,ship,ship,1
69,217474,good,ta,give,0.0,of praise to our waiter wartama who was extremely attentive,,neutral,positive,neutral,neutral,0.0,0.868108,0.0,give,0.0,give,present,waiter,dining,1
75,217474,good,he,came,0.0,to know our table pretty well,,neutral,positive,neutral,neutral,0.0,0.545199,0.0,come,0.0,come,past,table,dining,1
76,217474,good,he,to know,0.0,our table,,neutral,neutral,negative,neutral,0.0,0.0,-0.204548,know,0.0,to know,future,table,dining,1
78,217474,good,the buffet,had,0.0,a large variety of options,,positive,positive,neutral,neutral,0.402791,0.389257,0.0,have,0.0,have,past,buffet,food,1
81,217474,good,i,had been,0.0,concerned that the entertainment,,neutral,neutral,negative,neutral,0.0,0.0,-0.241223,be,0.0,have be,past,entertainment,entertainment,1
82,217474,good,the entertainment and shows on the ship,would be,0.0,more geared towards an older crowd,,positive,neutral,neutral,neutral,0.416679,0.0,0.0,be,0.0,would be,future,entertainment,entertainment,1
83,217474,good,the ship,more geared,0.0,towards an older crowd,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,gear,0.0,more gear,future,ship,ship,1
92,217474,good,the entertainment team,had,0.0,alot of hilarious skits,,positive,positive,neutral,neutral,0.452207,0.894962,0.0,have,0.0,have,past,entertainment,entertainment,1
112,52861,good,you,book,0.0,an italian ship,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,book,0.0,book,future,ship,ship,1
118,52861,good,north american,save,0.0,all the other passengers the grief from hearing you all,,neutral,negative,neutral,neutral,0.0,-0.390646,0.0,save,0.0,save,present,passengers,people,1
127,52861,good,the ship,is,0.0,gorgeous and very elegantit,,neutral,positive,neutral,neutral,0.0,0.688329,0.0,be,0.0,be,present,ship,ship,1
128,52861,good,the ship is gorgeous and very elegantit,is,0.0,impeccably clean and the staff work,,positive,positive,neutral,neutral,0.584361,0.815773,0.0,be,0.0,be,present,ship,ship,1
132,52861,good,the entertainment,was,0.0,nothing i could ever imagine would be on a cruise shipit was exceptionalstanding ovations on more than one occasion,,positive,negative,neutral,neutral,0.387758,-0.550779,0.0,be,0.0,be,past,entertainment,entertainment,1
151,257347,good,a first time cruiser,lives,0.0,,in spain,positive,neutral,neutral,neutral,0.294126,0.0,0.0,live,0.0,live,present,time,time,1
155,257347,good,a ship,is,0.0,catering to 3900 passengers,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,passengers,people,1
156,257347,good,a ship,is catering,0.0,to 3900 passengers,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,cater,0.0,be cater,present,passengers,people,1
161,257347,good,i,read,0.0,reviews about how the food was awful and cold,,neutral,negative,neutral,neutral,0.0,-0.758073,0.0,read,0.0,read,past,food,food,1
163,257347,good,i,have come,0.0,to the conclusion that those people are blockheads,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,come,0.0,have come,past,people,people,1
164,257347,good,people who walk amongst others,do,0.0,nt,,positive,neutral,neutral,neutral,0.230307,0.0,0.0,do,0.0,do,present,people,people,1
165,257347,good,people,to figure,0.0,what,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,figure,0.0,to figure,future,people,people,1
168,257347,good,people,do,0.0,nt,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,do,0.0,do,present,people,people,1
169,257347,good,people,dont like being,0.0,out of their comfort zone,,neutral,positive,neutral,neutral,0.0,0.20982,0.0,be,0.0,don’t like be,present,people,people,1
170,257347,good,people,have,0.0,never more,,neutral,negative,neutral,neutral,0.0,-0.60961,0.0,have,0.0,have,present,people,people,1
171,257347,good,you,need,0.0,to know that many different cultures of people cruise this route,,neutral,neutral,negative,neutral,0.0,0.0,-0.446858,need,0.0,need,present,people,people,1
172,257347,good,you,need to know,0.0,that many different cultures of people cruise this route,,neutral,neutral,negative,neutral,0.0,0.0,-0.445766,know,0.0,need to know,future,people,people,1
191,257347,good,restaurants the food in the dining rooms table service for breakfast and lunch,are,0.0,very good,,positive,positive,neutral,neutral,0.849067,0.673685,0.0,be,0.0,be,present,table,dining,1
192,257347,good,the speed of service,is,0.0,reasonably timed,,positive,positive,neutral,neutral,0.200513,0.746362,0.0,be,0.0,be,present,time,time,1
194,257347,good,most people,prefer,0.0,to be offered beverage service 5 times per meal instead of breads and croissants,,neutral,positive,positive,neutral,0.0,0.260883,0.469281,prefer,0.0,prefer,future,times,time,1
195,257347,good,most people,would prefer to be offered,0.0,beverage service,,neutral,neutral,positive,neutral,0.0,0.0,0.264747,offer,0.0,would prefer to be offer,future,people,people,1
197,257347,good,the food,is,0.0,very good,,neutral,positive,neutral,neutral,0.0,0.673685,0.0,be,0.0,be,present,food,food,1
199,257347,good,the food in the dining room for dinner,is,0.0,fantastic,,positive,positive,neutral,neutral,0.553451,0.66124,0.0,be,0.0,be,present,dining room,dining,1
200,88717,good,first impression of the ship,is,0.0,wow very very nice the staff is really helpful,,negative,positive,neutral,neutral,-0.20527,0.898425,0.0,be,0.0,be,present,ship,ship,1
204,88717,good,food,is,0.0,excellent not cold as others described,,neutral,positive,neutral,neutral,0.0,0.292601,0.0,be,0.0,be,present,food,food,1
205,88717,good,restaurants food,is,0.0,presented very well,,negative,positive,neutral,neutral,-0.572055,0.489782,0.0,be,0.0,be,present,food,food,1
206,88717,good,food,is,0.0,excellent,,neutral,positive,neutral,neutral,0.0,0.689352,0.0,be,0.0,be,present,food,food,1
207,88717,good,the buffet,needs,0.0,a little more improvement,,positive,negative,negative,neutral,0.402791,-0.675551,-0.442812,need,0.0,need,present,buffet,food,1
210,88717,good,the ship,offers,0.0,different type of fish plates,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,offer,0.0,offer,present,ship,ship,1
218,88717,good,the ship,has,0.0,minimal movement,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,have,0.0,have,present,ship,ship,1
219,88717,good,the other ship ncl gem,had,0.0,the only thing that bothered me,,positive,negative,neutral,neutral,0.561426,-0.733666,0.0,had.,0.0,had.,past,ship,ship,1
229,88717,good,some times the zanzibar,was,0.0,closed but not a problem,,neutral,negative,neutral,neutral,0.0,-0.518785,0.0,be,0.0,be,past,times,time,1
230,88717,good,the buffet,is,0.0,almost open,,positive,neutral,neutral,neutral,0.402791,0.0,0.0,be,0.0,be,present,buffet,food,1
237,88717,good,it,shows,0.0,italian programmes apart of ship info,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,show,0.0,show,present,ship,ship,1
247,256908,bad,the fabulously promised food,was,0.0,just marginally above average,,neutral,negative,neutral,neutral,0.0,-0.779364,0.0,be,0.0,be,past,food,food,1
250,256908,bad,the dining room servers,were,0.0,all very nice,,positive,positive,neutral,neutral,0.476134,0.679294,0.0,be,0.0,be,past,dining room,dining,1
256,256908,bad,the ship,was,0.0,beautiful,,neutral,positive,neutral,neutral,0.0,0.480147,0.0,be,0.0,be,past,ship,ship,1
260,256908,bad,i,asked,0.0,every time,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,ask,0.0,ask,past,time,time,1
263,256908,bad,a table,to get,0.0,,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,get,0.0,to get,future,table,dining,1
264,256908,bad,he,said,0.0,there were only 20 in the entire dining room,,neutral,positive,neutral,neutral,0.0,0.339482,0.0,say,0.0,say,past,dining room,dining,1
266,256908,bad,we,did,0.0,get a table for two,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,do,0.0,do,past,table,dining,1
267,256908,bad,we,did get,0.0,a table,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,get,0.0,do get,past,table,dining,1
273,256908,bad,the customer service rep,refused,0.0,to allow us to have lounge chairs,,positive,neutral,negative,neutral,0.385376,0.0,-0.519558,refuse,0.0,refuse,past,customer service,service,1
274,256908,bad,the customer service rep,allow,0.0,us to have lounge chairs on our extended balcony no matter who i asked,,positive,neutral,neutral,neutral,0.385376,0.0,0.0,allow,0.0,allow,future,customer service,service,1
275,256908,bad,our cabin,was,0.0,11297 on the back starboard port side,,positive,neutral,neutral,neutral,0.369757,0.0,0.0,be,0.0,be,past,board,ship,1
292,256908,bad,everyone else,was,0.0,so busy doing their job it seemed they had blinders on for customer service,,neutral,negative,neutral,neutral,0.0,-0.427405,0.0,be,0.0,be,past,customer service,service,1
294,92653,bad,we,longed,0.0,to get on board the msc sinfonia at durban to sail for 3 nights to portuguese island and back,,neutral,neutral,positive,neutral,0.0,0.0,0.31905,long,0.0,long,past,board,ship,1
307,92653,bad,the food,is,0.0,sub standard,,neutral,neutral,neutral,neutral,0.0,0.0,0.0,be,0.0,be,present,food,food,1
308,92653,bad,surly waiters,serving,0.0,bad food,in the 2 formal restaurants,negative,negative,positive,neutral,-0.637645,-0.777283,0.247367,serve,0.0,serve,present,waiter,dining,1
310,92653,bad,waiters,will bring,0.0,both muesli and your hot breakfast,,neutral,positive,positive,neutral,0.0,0.615549,0.207102,bring,0.0,will bring,future,waiter,dining,1
323,55763,bad,they,were,0.0,dismissive to us and fellow passengers who were equally dismayed with their totally unprofessional approach entertainment staff were friendly and well mannered our waiters 2 were nice but very inefficient and untrainedthe food was varied and tasty but invariable preplated and overheated or overcooked in the buffet the staff were snappy and short tempered drinks dispensers and issue of platescutlery were sometimes manned and the staff were snapping at everyonethere was no outside entertainmet provided except for deck gamescleaning left a lot to be desiredi dropped sunglasses more,,neutral,negative,neutral,neutral,0.0,-0.774333,0.0,be,0.0,be,past,entertainment,entertainment,1
324,55763,bad,fellow passengers,were,0.0,equally dismayed with their totally unprofessional approach entertainment staff,,neutral,negative,neutral,neutral,0.0,-0.639675,0.0,be,0.0,be,past,entertainment,entertainment,1
325,55763,bad,fellow passengers,dismayed,0.0,with their totally unprofessional approach entertainment staff,,neutral,neutral,negative,neutral,0.0,0.0,-0.639391,dismay,0.0,dismay,past,entertainment,entertainment,1
328,87968,bad,i,ignored,0.0,the bad reviews considering how nice the ship looked,,neutral,negative,negative,neutral,0.0,-0.524766,-0.688801,ignore,0.0,ignore,past,ship,ship,1
329,87968,bad,nice the ship,looked,0.0,the great ports,,positive,positive,neutral,neutral,0.503202,0.594003,0.0,look,0.0,look,past,ship,ship,1
330,87968,bad,the ship,was,0.0,very nice,,neutral,positive,neutral,neutral,0.0,0.723715,0.0,be,0.0,be,past,ship,ship,1
331,87968,bad,the food,was,0.0,good,,neutral,positive,neutral,neutral,0.0,0.494921,0.0,be,0.0,be,past,food,food,1
333,87968,bad, its the other passengers this ship,is,0.0,filled with the most ignorant rude classless,,neutral,negative,neutral,neutral,0.0,-0.893837,0.0,be,0.0,be,present,passengers,people,1
334,87968,bad,this ship,is filled,0.0,with the most ignorant rude classless disgusting pigs i have ever seen in my life,,neutral,negative,neutral,neutral,0.0,-0.901224,0.0,fill,0.0,be fill,past,ship,ship,1
337,87968,bad,these people,push and shove,0.0,in line,at the buffet,neutral,negative,negative,positive,0.0,-0.245397,-0.615394,shove,0.403584,push and shove,present,people,people,1
338,87968,bad,they,have,0.0,never seen food before,,neutral,negative,neutral,neutral,0.0,-0.31473,0.0,have,0.0,have,present,food,food,1
